/Users/bryanantonelli/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(

🔍 INGEST STARTUP
• CHANNELS_DIR: /Users/bryanantonelli/forged-by-freedom/ingest/channels
• Pinecone index: forged-freedom-ai
• Embedding model: text-embedding-3-large
• Chunk tokens: 3000
• Episodes to ingest: 4184
🚀 BEGIN INGEST

✅ [103/4184] @bodybuildingcom | unknown | Close Grip Bench Press - Tricep ⧸ Chest ... | 1 chunks
✅ [104/4184] @bodybuildingcom | unknown | Fitness 360： Daniel Banks, Swole Patrol ... | 1 chunks
✅ [105/4184] @bodybuildingcom | unknown | Fitness, Bikini And Ms  Olympia Finals P... | 2 chunks
✅ [106/4184] @bodybuildingcom | unknown | Barbell Side Bend - Core ⧸ Abs - Bodybui... | 1 chunks
✅ [107/4184] @bodybuildingcom | unknown | David Otunga's Training & Fitness Progra... | 2 chunks
✅ [108/4184] @bodybuildingcom | unknown | Jamie Eason - Big 'Ol Butt Video - Bodyb... | 1 chunks
✅ [109/4184] @bodybuildingcom | unknown | One-Legged Cable Kickback - Leg Exercise... | 1 chunks
✅ [110/4184] @bodybuildingcom | unknown | Meet Your Trainers - Bodybuilding.com... | 1 chunks
✅ [111/4184] @bodybuildingcom | unknown | Barbell Hip Thrust - Legs ⧸ Glutes Exerc... | 1 chunks
✅ [112/4184] @bodybuildingcom | unknown | Air Bike - Ab Exercises - Bodybuilding.c... | 1 chunks
✅ [113/4184] @bodybuildingcom | Ep. 06 ｜ Ebenezer Samuel ｜ Building Muscle & Training for Your Decade | The Bodybuilding.com Podcast ｜ Ep. 06 ｜ ... | 6 chunks
✅ [114/4184] @bodybuildingcom | unknown | Incline Dumbbell Press - Chest Exercise ... | 1 chunks
✅ [115/4184] @bodybuildingcom | unknown | Dips   Chest Version - Chest Exercise - ... | 1 chunks
✅ [116/4184] @bodybuildingcom | unknown | CT Fletcher's Armed Warfare Arm Workout... | 1 chunks
✅ [117/4184] @bodybuildingcom | unknown | Spartacus War Of The Damned - Arm Workou... | 2 chunks
✅ [118/4184] @bodybuildingcom | 20 Minute at Home Flexibility Workout ｜ Clutch Life： Ashley Conrad's 24⧸7 Fitness Trainer | Day 18 ｜ 20 Minute at Home Flexibility W... | 2 chunks
✅ [119/4184] @bodybuildingcom | unknown | Dumbbell Side Bend - Core ⧸ Abs - Bodybu... | 1 chunks
✅ [120/4184] @bodybuildingcom | unknown | IFBB Pro Jessie Hilgenberg's Fitness Jou... | 1 chunks
✅ [121/4184] @bodybuildingcom | EP 26 ｜ Yaya Vargas | From Rebuilding Homes to Rebuilding Bodi... | 2 chunks
✅ [122/4184] @bodybuildingcom | unknown | Nicole Moneer Fitness Program - Bodybuil... | 1 chunks
✅ [123/4184] @bodybuildingcom | unknown | Marc Megna's Lifting Lessons： Barbell Ba... | 1 chunks
✅ [124/4184] @bodybuildingcom | unknown | PRO MMA RADIO with Urijah Faber - UFC FA... | 1 chunks
✅ [125/4184] @bodybuildingcom | unknown | Side Lateral Raise - Shoulder Exercise -... | 1 chunks
✅ [126/4184] @bodybuildingcom | The Bodybuilding.com Podcast ｜ Ep. 12 ｜ Todd Anderson ｜ | How to Get Better Sleep ｜ The Bodybuildi... | 6 chunks
✅ [127/4184] @bodybuildingcom | unknown | Amanda Latona's Fitness Program... | 1 chunks
✅ [128/4184] @bodybuildingcom | unknown | Bodybuilding.com 2023： Year In Review... | 1 chunks
✅ [129/4184] @bodybuildingcom | unknown | Julien Greaux's 365 Circuit Trainer - Bo... | 1 chunks
✅ [130/4184] @bodybuildingcom | unknown | Figure Dynasty： How Nicole Wilkins Won H... | 1 chunks
✅ [131/4184] @bodybuildingcom | Day 3_12-Week Hardcore Daily Video Trainer With Kris Gethin | Nutrition & Shopping ｜ Day 3_12-Week Har... | 1 chunks
✅ [132/4184] @bodybuildingcom | unknown | Terminator Genisys Trailer： Arnold Schwa... | 1 chunks
✅ [133/4184] @bodybuildingcom | unknown | Pullups -  Back Exercise - Bodybuilding.... | 1 chunks
✅ [134/4184] @bodybuildingcom | unknown | Your Transformation Is Our Passion ｜ 201... | 1 chunks
✅ [135/4184] @bodybuildingcom | unknown | Jaquelyn Kastelic's Training & Fitness P... | 1 chunks
✅ [136/4184] @bodybuildingcom | unknown | Lee Labrada announces Transformation Win... | 1 chunks
✅ [137/4184] @bodybuildingcom | Clutch Life： Ashley Conrad's 24⧸7 Fitness Trainer | 30 Minute at Home Strength Workout： Day ... | 3 chunks
✅ [138/4184] @bodybuildingcom | unknown | CT Fletcher's Commandment #7 Of Muscle G... | 1 chunks
✅ [139/4184] @bodybuildingcom | Ep. 20 ｜ Peter Nelson ｜ The Bodybuilding.com Podcast | The Top Health Benefits of Sauna Therapy... | 5 chunks
