/Users/bryanantonelli/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(

🔍 INGEST STARTUP
• CHANNELS_DIR: /Users/bryanantonelli/forged-by-freedom/ingest/channels
• Pinecone index: forged-freedom-ai
• Embedding model: text-embedding-3-large
• Chunk tokens: 3000
• Episodes to ingest: 4184
🚀 BEGIN INGEST

✅ [112/4184] @bodybuildingcom | Air Bike - Ab Exercises - Bodybuilding.com... | 1 chunks
✅ [113/4184] @bodybuildingcom | The Bodybuilding.com Podcast ｜ Ep. 06 ｜ Ebenezer S... | 6 chunks
✅ [114/4184] @bodybuildingcom | Incline Dumbbell Press - Chest Exercise - Bodybuil... | 1 chunks
✅ [115/4184] @bodybuildingcom | Dips   Chest Version - Chest Exercise - Bodybuildi... | 1 chunks
✅ [116/4184] @bodybuildingcom | CT Fletcher's Armed Warfare Arm Workout... | 1 chunks
✅ [117/4184] @bodybuildingcom | Spartacus War Of The Damned - Arm Workout Intervie... | 2 chunks
✅ [118/4184] @bodybuildingcom | Day 18 ｜ 20 Minute at Home Flexibility Workout ｜ C... | 2 chunks
✅ [119/4184] @bodybuildingcom | Dumbbell Side Bend - Core ⧸ Abs - Bodybuilding.com... | 1 chunks
✅ [120/4184] @bodybuildingcom | IFBB Pro Jessie Hilgenberg's Fitness Journey： Body... | 1 chunks
✅ [121/4184] @bodybuildingcom | From Rebuilding Homes to Rebuilding Bodies ｜ EP 26... | 2 chunks
✅ [122/4184] @bodybuildingcom | Nicole Moneer Fitness Program - Bodybuilding.com... | 1 chunks
✅ [123/4184] @bodybuildingcom | Marc Megna's Lifting Lessons： Barbell Back Squat -... | 1 chunks
✅ [124/4184] @bodybuildingcom | PRO MMA RADIO with Urijah Faber - UFC FAN EXPO - B... | 1 chunks
✅ [125/4184] @bodybuildingcom | Side Lateral Raise - Shoulder Exercise - Bodybuild... | 1 chunks
✅ [126/4184] @bodybuildingcom | How to Get Better Sleep ｜ The Bodybuilding.com Pod... | 6 chunks
✅ [127/4184] @bodybuildingcom | Amanda Latona's Fitness Program... | 1 chunks
✅ [128/4184] @bodybuildingcom | Bodybuilding.com 2023： Year In Review... | 1 chunks
✅ [129/4184] @bodybuildingcom | Julien Greaux's 365 Circuit Trainer - Bodybuilding... | 1 chunks
✅ [130/4184] @bodybuildingcom | Figure Dynasty： How Nicole Wilkins Won Her Fourth ... | 1 chunks
✅ [131/4184] @bodybuildingcom | Nutrition & Shopping ｜ Day 3_12-Week Hardcore Dail... | 1 chunks
✅ [132/4184] @bodybuildingcom | Terminator Genisys Trailer： Arnold Schwarzenegger ... | 1 chunks
✅ [133/4184] @bodybuildingcom | Pullups -  Back Exercise - Bodybuilding.com... | 1 chunks
✅ [134/4184] @bodybuildingcom | Your Transformation Is Our Passion ｜ 2010 Bodybuil... | 1 chunks
✅ [135/4184] @bodybuildingcom | Jaquelyn Kastelic's Training & Fitness Program - B... | 1 chunks
✅ [136/4184] @bodybuildingcom | Lee Labrada announces Transformation Winners... | 1 chunks
✅ [137/4184] @bodybuildingcom | 30 Minute at Home Strength Workout： Day 8 ｜ Clutch... | 3 chunks
✅ [138/4184] @bodybuildingcom | CT Fletcher's Commandment #7 Of Muscle Growth - Bo... | 1 chunks
✅ [139/4184] @bodybuildingcom | The Top Health Benefits of Sauna Therapy ｜ Ep. 20 ... | 5 chunks
✅ [140/4184] @bodybuildingcom | Spider Curl - Biceps Exercise - Bodybuilding.com... | 1 chunks
✅ [141/4184] @bodybuildingcom | Meet the Newest Bodybuilding.com Coaches ｜ Workout... | 1 chunks
✅ [142/4184] @bodybuildingcom | Train Abs with Mario Lopez - Bodybuilding.com... | 1 chunks
✅ [143/4184] @bodybuildingcom | How I Became Jamie Eason's Cart Boy -- Bodybuildin... | 1 chunks
✅ [144/4184] @bodybuildingcom | Ashley Conrad's 7-Day Clutch Cleanse - Bodybuildin... | 1 chunks
✅ [145/4184] @bodybuildingcom | 2011 Arnold Classic Rap - Bodybuilding.com... | 1 chunks
✅ [146/4184] @bodybuildingcom | Becoming The Beast ｜ Nick Scott Fitness 360... | 1 chunks
✅ [147/4184] @bodybuildingcom | Getting Ripped and Cover Ready - Part 2 - Bodybuil... | 1 chunks
✅ [148/4184] @bodybuildingcom | Look Strong, Lift Strong： Layne Norton's Legs And ... | 1 chunks
✅ [149/4184] @bodybuildingcom | Plank ⧸ Planking - Ab Exercises - Bodybuilding.com... | 1 chunks
✅ [150/4184] @bodybuildingcom | Training With Nikia Dyson -- Bodybuilding.com... | 1 chunks
✅ [151/4184] @bodybuildingcom | Testosterone Replacement Therapy (TRT)： What You N... | 1 chunks
✅ [152/4184] @bodybuildingcom | BodySpace Demo Part 2： Dashboard Introduction and ... | 1 chunks
✅ [153/4184] @bodybuildingcom | Ashley Horner's Full-Body Tabata Workout... | 1 chunks
✅ [154/4184] @bodybuildingcom | Fit Dreams Come True With Diana Chaloux Series, Ep... | 1 chunks
✅ [155/4184] @bodybuildingcom | Natural Ways To Boost Testosterone... | 1 chunks
✅ [156/4184] @bodybuildingcom | Stop Doing Leg Extensions Like This!!! #legextensi... | 1 chunks
✅ [157/4184] @bodybuildingcom | Dorian Yates Answers Bodybuilding.com Fans Top 5 Q... | 1 chunks
✅ [158/4184] @bodybuildingcom | Tricep Dumbbell Kickback - Tricep Exercise - Bodyb... | 1 chunks
✅ [159/4184] @bodybuildingcom | Kris Gethin & Team Grenade Ab Workout - Bodybuildi... | 2 chunks
✅ [160/4184] @bodybuildingcom | Throwback Shoulder Workout with James Grage and Wh... | 2 chunks
✅ [161/4184] @bodybuildingcom | Standing Dumbbell Upright Row - Shoulder Exercise ... | 1 chunks
✅ [162/4184] @bodybuildingcom | Seth Feroce's Training & Fitness Program - Bodybui... | 1 chunks
✅ [163/4184] @bodybuildingcom | WORKOUT PREVIEW： Strength for Athletes #1 with Coa... | 1 chunks
✅ [164/4184] @bodybuildingcom | Arnold Dumbbell Press - Shoulder Exercise - Bodybu... | 1 chunks
✅ [165/4184] @bodybuildingcom | Ashley Conrad's High-Intensity Leg Circuit Workout... | 1 chunks
✅ [166/4184] @bodybuildingcom | 20 Minute at Home Flexibility Workout ｜ Clutch Lif... | 2 chunks
✅ [167/4184] @bodybuildingcom | Meet Bodybuilding.com Master Coach ｜ CRAIG BONGELL... | 1 chunks
✅ [168/4184] @bodybuildingcom | 2012 Mr. Olympia Highlight Reel - Bodybuilding.com... | 1 chunks
✅ [169/4184] @bodybuildingcom | Bodybuilding.com Spokesmodel Search 2016, presente... | 1 chunks
✅ [170/4184] @bodybuildingcom | Rodney Razor's Training, Diet, and Nutrition Progr... | 1 chunks
✅ [171/4184] @bodybuildingcom | Ashley Schutz  - 'Lift Life' Bodybuilding.com Ad C... | 1 chunks
✅ [172/4184] @bodybuildingcom | Program Overview ｜ Cory Gregory's Squat Every Day ... | 1 chunks
✅ [173/4184] @bodybuildingcom | Get Mile Wide - Brandan Fokken's Mile-Wide-Shoulde... | 1 chunks
✅ [174/4184] @bodybuildingcom | Intentional Movement Theories & Finding Spirituali... | 4 chunks
✅ [175/4184] @bodybuildingcom | CT Fletcher's Commandment #1 Of Muscle Growth - Bo... | 1 chunks
✅ [176/4184] @bodybuildingcom | Breaking Down the Results of Four Weeks Training a... | 1 chunks
✅ [177/4184] @bodybuildingcom | Marc Megna's Lifting Lessons： Barbell Biceps Curl ... | 1 chunks
✅ [178/4184] @bodybuildingcom | Elite by Bodybuilding.com ｜ Thermo + BCAA... | 1 chunks
✅ [179/4184] @bodybuildingcom | Day 1 ｜ 30 Minute at Home Strength Workout ｜ Clutc... | 3 chunks
✅ [180/4184] @bodybuildingcom | Clean and Jerk - Shoulders ⧸ Legs ⧸ Back Exercise ... | 1 chunks
✅ [181/4184] @bodybuildingcom | Kris Gethin's Quad Radical Equation Workout - Leg ... | 2 chunks
✅ [182/4184] @bodybuildingcom | One-Arm Dumbbell Row - Back Exercise - Bodybuildin... | 1 chunks
✅ [183/4184] @bodybuildingcom | Back Anatomy & Training Program ｜ Built By Science... | 2 chunks
✅ [184/4184] @bodybuildingcom | NFL Combine Trainer： Vertical Jump - Bodybuilding.... | 1 chunks
✅ [185/4184] @bodybuildingcom | Living Large： Jay Cutler's 8-Week Mass-Building Tr... | 1 chunks
✅ [186/4184] @bodybuildingcom | Add Strength & Size With Mike O'Hearn's Power Body... | 1 chunks
✅ [187/4184] @bodybuildingcom | At Home Cardio and Core Workout ｜ Clutch Life： Ash... | 4 chunks
✅ [188/4184] @bodybuildingcom | The Bodybuilding.com Podcast ｜ Ep. 08 ｜ Kristen Le... | 5 chunks
✅ [189/4184] @bodybuildingcom | Abel Albonetti's Ultimate Back Workout... | 1 chunks
✅ [190/4184] @bodybuildingcom | Ben Affleck's Nutrition Plan for ＂The Town＂ by Reh... | 1 chunks
✅ [191/4184] @bodybuildingcom | Smith Machine Squat - Leg Exercise - Bodybuilding.... | 1 chunks
✅ [192/4184] @bodybuildingcom | Lee Labrada 12-Week Lean Body Workout & Diet - Bod... | 1 chunks
✅ [193/4184] @bodybuildingcom | Bill Phillips & Ryan DeLuca： Titans Of Transformat... | 1 chunks
✅ [194/4184] @bodybuildingcom | Wide-Back, Boulder-Shoulder Workout ｜ Chad Hollmer... | 1 chunks
✅ [195/4184] @bodybuildingcom | NFL Combine Trainer： Overview - Bodybuilding.com... | 1 chunks
✅ [196/4184] @bodybuildingcom | 2015 True Strength Student Challenge - Let's Do Th... | 1 chunks
✅ [197/4184] @bodybuildingcom | Ashley Conrad's 21-Day Clutch Cut Training Program... | 2 chunks
✅ [198/4184] @bodybuildingcom | Ben Affleck's Training  For ＂The Town＂ by Rehan Ja... | 1 chunks
✅ [199/4184] @bodybuildingcom | Orange Almond Biscotti Cookies Recipe ｜ Jamie Easo... | 1 chunks
✅ [200/4184] @bodybuildingcom | Brendy Scheerer's Training & Fitness Program - Bod... | 1 chunks
✅ [201/4184] @bodybuildingcom | WORKOUT PREVIEW： Lower Body #2 with Kristen Letten... | 1 chunks
✅ [202/4184] @bodybuildingcom | It's Your Life (Motocross) ｜ 2010 Bodybuilding.com... | 1 chunks
✅ [203/4184] @bodybuildingcom | How to Increase Mile Splits with 5K Blocks ｜ 26.2 ... | 1 chunks
✅ [204/4184] @bodybuildingcom | Steve Cook's Big Man On Campus Training Program ｜ ... | 1 chunks
✅ [205/4184] @bodybuildingcom | Arm Building Superset Workout ｜ Brian Casad... | 1 chunks
✅ [206/4184] @bodybuildingcom | Push Press - Shoulder Exercise - Bodybuilding.com... | 1 chunks
✅ [207/4184] @bodybuildingcom | 40 Minute at Home Full-Body Workout： Day 20 ｜ Clut... | 3 chunks
✅ [208/4184] @bodybuildingcom | Push Your Strength Chest Workout ｜ Jim Stoppani... | 1 chunks
✅ [209/4184] @bodybuildingcom | Week 2 Prep Contest - $200,000 Transformation Chal... | 1 chunks
✅ [210/4184] @bodybuildingcom | Remix Nutrition, by Bodybuilding.com ｜ Gaming Supp... | 1 chunks
✅ [211/4184] @bodybuildingcom | Train Large ｜ Jay Cutler Living Large ｜ Mass-Build... | 2 chunks
✅ [212/4184] @bodybuildingcom | The 21-Day Bizzy Diet Trainer： Trailer - Bodybuild... | 1 chunks
✅ [213/4184] @bodybuildingcom | Stiff Legged Dumbbell Deadlift - Legs ⧸ Glutes Exe... | 1 chunks
✅ [214/4184] @bodybuildingcom | Seated Barbell Military Press - Shoulder Exercise ... | 1 chunks
✅ [215/4184] @bodybuildingcom | Jimmy Peña's Power Rack Training Episode 2： Partia... | 1 chunks
✅ [216/4184] @bodybuildingcom | High-Volume Leg Workout： 12-Week Hardcore Daily Vi... | 1 chunks
✅ [217/4184] @bodybuildingcom | Mike O'Hearn's Chest Workout ｜ Power Bodybuilding ... | 1 chunks
✅ [218/4184] @bodybuildingcom | Jamie Eason's Tips & Techniques - Bodybuilding.com... | 1 chunks
✅ [219/4184] @bodybuildingcom | Not Hungry After Workout #nutrition #hunger... | 1 chunks
✅ [220/4184] @bodybuildingcom | Glute Ham Raise - Legs ⧸ Glutes Exercise - Bodybui... | 1 chunks
✅ [221/4184] @bodybuildingcom | Erin Stern's Training & Fitness Program... | 1 chunks
✅ [222/4184] @bodybuildingcom | EP. 30 ｜ Craig Bongelli ｜ Building Muscle Mass and... | 4 chunks
✅ [223/4184] @bodybuildingcom | Cory Gregory's Squat Every Day Trainer ｜ Trailer... | 1 chunks
✅ [224/4184] @bodybuildingcom | Legs Like Jessie's： Hilgenberg's 7-Move Lower Body... | 1 chunks
✅ [225/4184] @bodybuildingcom | Alicia Harris' Training & Fitness Program - Bodybu... | 1 chunks
✅ [226/4184] @bodybuildingcom | Dumbbell Workout Inspo IG： alexabergfit #upperbody... | 1 chunks
✅ [227/4184] @bodybuildingcom | CT Fletcher's Commandment #3 Of Muscle Growth - Bo... | 1 chunks
✅ [228/4184] @bodybuildingcom | Whey Protein Guide - Bodybuilding.com... | 1 chunks
✅ [229/4184] @bodybuildingcom | Dumbbell Triceps Extension - Tricep Exercise - Bod... | 1 chunks
✅ [230/4184] @bodybuildingcom | Finding Inspiration In Nature! Watch the entire se... | 1 chunks
✅ [231/4184] @bodybuildingcom | Rachel Flint's Training & Fitness Program - Bodybu... | 1 chunks
✅ [232/4184] @bodybuildingcom | Chest and Triceps Workout ｜ Kris Gethin's 12-Week ... | 1 chunks
✅ [233/4184] @bodybuildingcom | 2013 Arnold Classic ⧸ Sports Festival Highlight Re... | 1 chunks
✅ [234/4184] @bodybuildingcom | Butt Lift (Bridge) - Leg Exercise - Bodybuilding.c... | 1 chunks
✅ [235/4184] @bodybuildingcom | Barbell Shoulder Press - Shoulder Exercise - Bodyb... | 1 chunks
